"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST)","0","2121","2108"
"BZN|BE","04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST)","0","2143","2068"
"BZN|BE","04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST)","0","2142","1952"
"BZN|BE","04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST)","0","2056","1903"
"BZN|BE","05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST)","0","2117","1894"
"BZN|BE","05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST)","0","2134","1810"
"BZN|BE","05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST)","0","2148","1785"
"BZN|BE","05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST)","0","2146","1691"
"BZN|BE","05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST)","0","2128","1577"
"BZN|BE","05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST)","0","2091","1553"
"BZN|BE","05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST)","0","1866","1443"
"BZN|BE","05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST)","0","1977","1363"
"BZN|BE","05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST)","0","1666","1305"
"BZN|BE","05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST)","158","1323","1172"
"BZN|BE","05.01.2023 10:00 - 05.01.2023 11:00 (CET/CEST)","435","1091","999"
"BZN|BE","05.01.2023 11:00 - 05.01.2023 12:00 (CET/CEST)","628","1064","843"
"BZN|BE","05.01.2023 12:00 - 05.01.2023 13:00 (CET/CEST)","754","1027","664"
"BZN|BE","05.01.2023 13:00 - 05.01.2023 14:00 (CET/CEST)","536","1340","500"
"BZN|BE","05.01.2023 14:00 - 05.01.2023 15:00 (CET/CEST)","362","1218","477"
"BZN|BE","05.01.2023 15:00 - 05.01.2023 16:00 (CET/CEST)","162","1493","778"
"BZN|BE","05.01.2023 16:00 - 05.01.2023 17:00 (CET/CEST)","27","1630","595"
"BZN|BE","05.01.2023 17:00 - 05.01.2023 18:00 (CET/CEST)","0","1717","686"
"BZN|BE","05.01.2023 18:00 - 05.01.2023 19:00 (CET/CEST)","0","1957","796"
"BZN|BE","05.01.2023 19:00 - 05.01.2023 20:00 (CET/CEST)","0","2092","877"
"BZN|BE","05.01.2023 20:00 - 05.01.2023 21:00 (CET/CEST)","0","2109","1057"
"BZN|BE","05.01.2023 21:00 - 05.01.2023 22:00 (CET/CEST)","0","2004","1062"
"BZN|BE","05.01.2023 22:00 - 05.01.2023 23:00 (CET/CEST)","0","2098","1073"
"BZN|BE","05.01.2023 23:00 - 06.01.2023 00:00 (CET/CEST)","0","1971","1068"
"BZN|BE","06.01.2023 00:00 - 06.01.2023 01:00 (CET/CEST)","0","2014","1136"
"BZN|BE","06.01.2023 01:00 - 06.01.2023 02:00 (CET/CEST)","0","2119","1189"
"BZN|BE","06.01.2023 02:00 - 06.01.2023 03:00 (CET/CEST)","0","2148","1354"
"BZN|BE","06.01.2023 03:00 - 06.01.2023 04:00 (CET/CEST)","0","2169","1526"
"BZN|BE","06.01.2023 04:00 - 06.01.2023 05:00 (CET/CEST)","0","2171","1682"
"BZN|BE","06.01.2023 05:00 - 06.01.2023 06:00 (CET/CEST)","0","2164","1688"
"BZN|BE","06.01.2023 06:00 - 06.01.2023 07:00 (CET/CEST)","0","2165","1752"
"BZN|BE","06.01.2023 07:00 - 06.01.2023 08:00 (CET/CEST)","0","1805","1839"
"BZN|BE","06.01.2023 08:00 - 06.01.2023 09:00 (CET/CEST)","0","1109","1691"
"BZN|BE","06.01.2023 09:00 - 06.01.2023 10:00 (CET/CEST)","88","876","1367"
"BZN|BE","06.01.2023 10:00 - 06.01.2023 11:00 (CET/CEST)","357","823","1098"
"BZN|BE","06.01.2023 11:00 - 06.01.2023 12:00 (CET/CEST)","596","739","965"
"BZN|BE","06.01.2023 12:00 - 06.01.2023 13:00 (CET/CEST)","692","872","908"
